Reference,Value,Extended part,JLCPCB Part no:,Package,Price per unit,Total price,Qty
C1,10nF,0,C49678,805,$0.0046,$0.0046,1
C2,1uF,0,C28323,805,$0.0087,$0.0087,1
"C3, C4",20pF,0,C107145,805,$0.0059,$0.0118,2
"C5, C6, C8",100nF,0,C49678,805,$0.0046,$0.0138,3
C7,10uF,0,C15850,805,$0.0135,$0.0135,1
"D1, D2",LED,0,C2296,805,$0.0119,$0.0398,2
J1,USB_B_Micro,1,C404969,SMD,$0.0333,$0.0333,1
"R1, R2",330R,0,C17630,805,$0.0017,$0.0034,2
SW1,SW_Push,1,C13828,Through hole,$0.0425,$0.0425,1
U1,STM32F051C6Tx,,,,,,1
U2,FT232RL,1,C8690,SMD,$5.6293,$5.6293,1
Y1,8MHz,0,C12674,SMD,$0.0864,$0.0864,1
,,,,,Total Parts cost Per board,$5.8871,
,,,,Extended parts cost,,$9.00,
