REFERENCE;VALUE;Extended Part;JLCPCB part no:;Package ;Price per unit;Total Price;Quantity
BT1;Battery_Cell;;;;;;1
C1-C3;10uF;0;C15850;.0805; $0.0135;$0.0405;3
C4;10nF;0;C57112;.0603;$0.0013;$0.0013;1
D1;RED LED;0;C2286;LED_0603; $0.0054; $0.0054;1
D2;GREEN LED;0;C2297;.0805;$0.0133;$0.0133;1
IC1;DW01A-G;1;C61503;SOT-23-6;$0.1461;$0.1461;1
J1, J3;Conn_01x02_Male;;;;;;2
J2;USB_B_Micro;1;C404969;SMD;$0.0333;$0.0333;1
Q1;FS8205A;1;C908265;SOT-23-6;$0.0552;$0.0552;1
R1, R2;1K;1;C58674;Plugin;$0.0088;$0.0176;2
R3 ;500R;1;C2828857;.0805;$0.0091;$0.0091;1
R4 ;1k;;C4211;.0603;$0.001;$0.001;1
TP1, TP2;TestPoint;;;;;;2
U1;HT75xx-1-SOT89;0;C14289;SOT-89-3;$0.1315;$0.1315;1
U2;TP4056;0;C16581;ESOP-8;$0.2064;$0.2064;1
;;;;;TOTAL COST;$0.6607;
